HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,IT,Italy,0.00802568,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,LT,Lithuania,11.247128,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,LU,Luxembourg,0.17604425,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,LV,Latvia,6.8300676,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,NO,Norway,0.18117054,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,PL,Poland,0.29871142,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,RO,Romania,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,SE,Sweden,2.74058761,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,SI,Slovenia,2.9701668,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,SK,Slovakia,1.45683447,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2015,UK,United Kingdom,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,AT,Austria,1.08176258,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,BE,Belgium,0.00991259,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,BG,Bulgaria,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,CZ,Czech Republic,5.32968402,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,DE,Germany,0.41041284,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,EE,Estonia,6.00767361,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,EL,Greece,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,EU_EEA31,EU/EEA,0.543512,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,EU28,EU,0.546835,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,FI,Finland,1.09443472,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,FR,France,0.02231759,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,HR,Croatia,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,HU,Hungary,0.1421773,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,IT,Italy,0.07606483,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,LT,Lithuania,20.90199442,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,LU,Luxembourg,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,LV,Latvia,4.45085313,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,NL,Netherlands,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,NO,Norway,0.24005211,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,PL,Poland,0.54361081,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,RO,Romania,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,SE,Sweden,2.489858,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,SI,Slovenia,3.9389222,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,SK,Slovakia,3.06170473,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2016,UK,United Kingdom,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,AT,Austria,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,BE,Belgium,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,BG,Bulgaria,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,CZ,Czech Republic,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,DE,Germany,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,EE,Estonia,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,EL,Greece,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,EU_EEA31,EU/EEA,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,EU28,EU,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,FI,Finland,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,FR,France,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,HR,Croatia,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,HU,Hungary,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,IT,Italy,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,LT,Lithuania,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,LU,Luxembourg,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,LV,Latvia,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,NL,Netherlands,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,NO,Norway,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,PL,Poland,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,RO,Romania,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,SE,Sweden,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,SI,Slovenia,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,SK,Slovakia,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Age standardised rate,N/100000,2017,UK,United Kingdom,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,AT,Austria,0.45194401,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,BE,Belgium,0.00902862,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,CZ,Czech Republic,5.4543144,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,DE,Germany,0.242755,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,EE,Estonia,13.43176249,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,EL,Greece,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,EU_EEA31,EU/EEA,0.527161,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,EU28,EU,0.53195,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,FI,Finland,0.7220528,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,FR,France,0.00153193,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,HR,Croatia,1.05238934,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,HU,Hungary,0.42287874,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,LT,Lithuania,11.68581731,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,LV,Latvia,3.52110437,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,NO,Norway,0.14039676,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,PL,Poland,0.31263306,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,RO,Romania,0.01492834,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,SE,Sweden,3.02651469,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,SI,Slovenia,7.97860954,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,SK,Slovakia,0.57361496,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2012,UK,United Kingdom,0.00472475,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,AT,Austria,1.18317151,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,BE,Belgium,0.00897829,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,CZ,Czech Republic,5.94325381,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,DE,Germany,0.5203434,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,EE,Estonia,8.63522535,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,EL,Greece,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,EU_EEA31,EU/EEA,0.620201,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,EU28,EU,0.625669,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,FI,Finland,0.70024475,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,FR,France,0.00152438,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,HR,Croatia,1.03234525,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,HU,Hungary,0.27248511,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,IT,Italy,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,LT,Lithuania,16.38679567,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,LV,Latvia,11.36461897,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,NO,Norway,0.11878189,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,PL,Poland,0.35730673,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,RO,Romania,0.01498495,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,SE,Sweden,2.18713206,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,SI,Slovenia,14.91144689,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,SK,Slovakia,2.90158489,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2013,UK,United Kingdom,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,AT,Austria,0.95206908,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,BE,Belgium,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,BG,Bulgaria,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,CZ,Czech Republic,3.90014895,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,DE,Germany,0.32686429,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,EE,Estonia,6.23186015,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,EL,Greece,0.0091518,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,EU_EEA31,EU/EEA,0.415317,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,EU28,EU,0.417054,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,FI,Finland,0.8621844,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,FR,France,0.0136483,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,HR,Croatia,0.5415831,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,HU,Hungary,0.26322809,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,IT,Italy,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,LT,Lithuania,11.99263998,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,LU,Luxembourg,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,LV,Latvia,7.44453571,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,NO,Norway,0.25450423,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,PL,Poland,0.34457492,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,RO,Romania,0.0050132,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,SE,Sweden,1.84554183,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,SI,Slovenia,4.85181348,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,SK,Slovakia,2.12335825,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2014,UK,United Kingdom,0.00310794,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,AT,Austria,0.9202176,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,BE,Belgium,0.00889895,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,BG,Bulgaria,0.0277693,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,CZ,Czech Republic,3.31173745,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,DE,Germany,0.27094417,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,EE,Estonia,8.74611178,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,EL,Greece,0.00920978,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,EU_EEA31,EU/EEA,0.398344,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,EU28,EU,0.400785,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,FI,Finland,1.24274615,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,FR,France,0.01504748,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,HR,Croatia,0.61533859,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,HU,Hungary,0.223224,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,IT,Italy,0.00822427,,,,,,,
